"methodId","total_garbage","minimum","maximum","number_times"
1,5416,0,3224,803433
2,1016,0,216,11878
4,27168,0,16184,421796
7,8272,0,8272,165923
11,0,0,0,2
12,6979544,0,6958672,10
13,0,0,0,59
17,0,0,0,104
18,0,0,0,38
19,0,0,0,20
20,1856,0,144,58
23,0,0,0,2639
24,0,0,0,2735
25,0,0,0,13
28,0,0,0,10
29,1584,0,224,8
31,0,0,0,20
32,432,0,24,19
37,0,0,0,1
38,176,176,0,1
43,0,0,0,8
44,848,96,112,8
49,0,0,0,1
50,256,0,160,5
65,0,0,0,3
66,360,88,136,3
82,0,0,0,95
83,0,0,0,101
85,0,0,0,198
86,688,0,112,75
88,0,0,0,1
89,0,0,0,1
90,0,0,0,1
91,0,0,0,3
92,0,0,0,2
93,0,0,0,19
95,0,0,0,34
96,0,0,0,139
98,0,0,0,20
102,0,0,0,4
103,0,0,0,74
105,0,0,0,61
107,0,0,0,5
108,0,0,0,1
109,0,0,0,1
111,0,0,0,39
126,0,0,0,2
128,0,0,0,2
151,0,0,0,4
153,0,0,0,1
155,0,0,0,4
156,0,0,0,4
157,0,0,0,8
158,0,0,0,8
159,0,0,0,11
160,0,0,0,9
167,0,0,0,2
168,0,0,0,20
169,0,0,0,19
170,600,32,80,9
192,0,0,0,987
193,0,0,0,4970
194,0,0,0,2733
195,0,0,0,648
196,0,0,0,8343
197,0,0,0,36911
203,139280,0,49872,617293
204,1264,0,120,1319
207,363048,0,256,2501
209,0,0,0,325
210,15024,0,216,4386
211,204688,0,376,257650
212,57432,0,216,5911
213,856,72,216,5
215,171992,0,584,2330
216,1181912,0,440,19499
218,13320,0,160,274762
219,496,0,144,30345
220,22704,0,22088,281025
221,9296,0,152,146611
222,1200,0,240,146631
223,155528,0,144,7807
225,504,0,104,6072
226,208,0,56,7229
227,0,0,0,2
228,0,0,0,2
229,30752,0,5248,146928
230,492888,0,256,32751
231,0,0,0,1276
232,54336,0,144,2702
233,10656,0,48,13607
234,45400,0,144,15726
235,106368,0,48,5110
236,71280,0,48,10778
237,0,0,0,1669
238,9648,0,144,1691
239,0,0,0,51148
240,0,0,0,7282
241,2136,0,136,3266
247,0,0,0,81
248,0,0,0,3
250,3032,0,152,90
251,0,0,0,493
255,0,0,0,11
256,0,0,0,250
259,0,0,0,37
262,0,0,0,1
264,0,0,0,2
265,0,0,0,1
267,0,0,0,3
268,0,0,0,2294
271,0,0,0,20
277,2128,0,104,40
284,11136,0,120,1318
370,0,0,0,12
371,0,0,0,12
386,0,0,0,7
387,0,0,0,20
388,0,0,0,3
389,0,0,0,1814
390,0,0,0,266
391,0,0,0,266
392,0,0,0,605
393,0,0,0,84
395,0,0,0,87
396,0,0,0,86
397,0,0,0,87
398,0,0,0,87
399,2376,0,216,86
400,0,0,0,1
402,0,0,0,87
403,33104,0,224,261
405,0,0,0,35534
406,0,0,0,35534
409,16200,0,216,605
410,0,0,0,4891
411,0,0,0,3840
412,0,0,0,1051
413,0,0,0,4891
415,0,0,0,536
418,0,0,0,3
421,72,0,0,1128
422,0,0,0,1128
423,0,0,0,1128
425,0,0,0,1128
427,0,0,0,1128
430,0,0,0,2128
431,2304,0,48,2128
434,0,0,0,3
435,0,0,0,55
436,0,0,0,6
437,0,0,0,22
438,0,0,0,12
440,0,0,0,22
444,560,0,112,1454
445,0,0,0,838
453,0,0,0,2909
455,0,0,0,69
457,0,0,0,4
459,0,0,0,101
461,0,0,0,61
462,0,0,0,19
463,0,0,0,20
464,2568,0,152,20
471,0,0,0,39
472,0,0,0,39
473,0,0,0,39
474,0,0,0,3
478,0,0,0,83
479,0,0,0,40
480,0,0,0,47
481,0,0,0,4
482,0,0,0,1
483,0,0,0,8
485,0,0,0,31
486,0,0,0,3
490,0,0,0,2
492,0,0,0,18
500,0,0,0,6
502,0,0,0,380
503,0,0,0,3638
504,0,0,0,23683
506,0,0,0,10
507,0,0,0,1
514,0,0,0,11
515,0,0,0,12
518,0,0,0,21
520,0,0,0,32349
525,0,0,0,15
527,0,0,0,11
528,0,0,0,25
529,0,0,0,1
530,0,0,0,1128
532,0,0,0,1
534,0,0,0,2
535,0,0,0,9
536,0,0,0,11
537,0,0,0,4179
538,0,0,0,4179
540,0,0,0,4
541,0,0,0,2
542,0,0,0,2
543,0,0,0,10
548,0,0,0,3
549,0,0,0,4
550,312,104,104,3
551,0,0,0,13
557,0,0,0,12
558,1344,0,336,12
572,0,0,0,8358
581,0,0,0,1
585,105488,40,26168,12
604,0,0,0,392
605,0,0,0,90
606,0,0,0,254
607,0,0,0,2
608,89872,0,608,392
610,0,0,0,8
611,0,0,0,8
619,552,0,272,8
636,0,0,0,254
640,0,0,0,46
641,56,0,0,90
642,0,0,0,254
643,0,0,0,2
653,0,0,0,7
656,160,0,32,339
657,0,0,0,181
658,0,0,0,1
661,0,0,0,448
662,0,0,0,14
663,0,0,0,2
665,0,0,0,3
689,0,0,0,28012
706,0,0,0,6387
709,0,0,0,20
738,0,0,0,118
739,0,0,0,118
740,0,0,0,348
741,0,0,0,348
746,0,0,0,12
747,0,0,0,12
754,0,0,0,452
755,0,0,0,452
756,0,0,0,18
757,0,0,0,18
760,0,0,0,451
761,0,0,0,451
765,504,0,504,9116
766,0,0,0,9116
767,0,0,0,40806
768,0,0,0,40806
771,0,0,0,8122
772,0,0,0,11105
789,0,0,0,118
791,0,0,0,407
794,0,0,0,90
800,0,0,0,125
807,0,0,0,72
810,0,0,0,72
811,0,0,0,93
812,0,0,0,93
813,0,0,0,93
814,0,0,0,118
815,0,0,0,10
817,0,0,0,108
819,0,0,0,146
820,32,0,32,5937
823,0,0,0,1
824,512,0,32,6579
829,0,0,0,11838
830,1984,0,32,599
847,0,0,0,1
849,0,0,0,250
852,0,0,0,19792
853,0,0,0,113
854,0,0,0,1099
856,2032,0,2032,21161
857,0,0,0,2
859,0,0,0,1098
866,64,0,32,7402
868,0,0,0,21846
869,316320,0,32,11331
870,0,0,0,43684
871,0,0,0,43684
884,0,0,0,4
885,0,0,0,4
886,0,0,0,4
887,0,0,0,90
888,0,0,0,90
893,0,0,0,75
898,0,0,0,60
920,0,0,0,11
925,0,0,0,432
940,0,0,0,21453
941,1312,0,1312,189750
943,0,0,0,83645
954,0,0,0,24
956,0,0,0,50
959,0,0,0,10
965,1536,0,192,24
983,0,0,0,24
984,0,0,0,10
986,0,0,0,10
987,0,0,0,24
992,0,0,0,4
993,0,0,0,4
995,0,0,0,7
1008,0,0,0,1
1009,0,0,0,1
1010,0,0,0,5
1011,0,0,0,3
1012,0,0,0,2
1014,0,0,0,6
1016,0,0,0,1
1018,0,0,0,1
1024,480,0,240,8368
1028,0,0,0,6
1029,0,0,0,1
1030,0,0,0,7
1037,0,0,0,6
1038,0,0,0,6
1039,0,0,0,12
1041,0,0,0,3
1043,2304,0,128,19
1045,0,0,0,1
1051,1376,0,208,85
1054,0,0,0,10
1055,0,0,0,3
1056,0,0,0,13
1070,0,0,0,12
1071,64,0,64,13
1074,0,0,0,15
1076,0,0,0,11
1082,0,0,0,13
1084,0,0,0,5
1091,0,0,0,11
1104,0,0,0,241
1105,0,0,0,874
1106,0,0,0,437
1107,0,0,0,21
1109,0,0,0,44
1111,0,0,0,13
1118,0,0,0,12
1119,0,0,0,12
1122,0,0,0,4
1123,0,0,0,4
1125,6054800,0,1684400,175935
1128,0,0,0,784
1132,0,0,0,1
1135,0,0,0,19
1136,0,0,0,261
1137,0,0,0,272
1138,0,0,0,2
1143,0,0,0,7725
1144,0,0,0,495
1146,0,0,0,1
1147,0,0,0,19
1154,432,0,216,8
1167,0,0,0,2
1170,0,0,0,2
1188,0,0,0,1
1205,0,0,0,254
1206,0,0,0,254
1211,0,0,0,2983
1216,0,0,0,1008
1219,0,0,0,116
1220,0,0,0,84425
1222,0,0,0,254
1223,0,0,0,67224
1224,0,0,0,77334
1225,0,0,0,514
1228,0,0,0,3000
1230,0,0,0,22
1231,0,0,0,1138
1232,0,0,0,3140
1234,0,0,0,714
1235,0,0,0,8296
1236,0,0,0,4834
1239,0,0,0,5724
1253,0,0,0,84541
1262,0,0,0,254
1264,0,0,0,254
1282,0,0,0,1000
1288,0,0,0,116
1289,0,0,0,84425
1290,0,0,0,84541
1292,0,0,0,254
1294,0,0,0,67224
1340,0,0,0,84541
1371,0,0,0,19
1375,4616,0,1872,387
1376,0,0,0,275
1379,0,0,0,8
